"OrganisationCode","CanonicalOrganisationName","OrganisationType","RegionCode","RegionName","ICSCode","ICSName","ValidFromMonth","ValidToMonth","StableAllThreeMonths","InclusionFlag","ReportingCohort","ObservedAliases","MappingStatus","ReviewNote"
"RXW","Shrewsbury and Telford Hospital NHS Trust","Acute","Y60","Midlands","QOC","Shropshire, Telford and Wrekin","2024-04-30","2025-03-31","True","False","National stable reference","Shrewsbury and Telford Hospital NHS Trust","Approved",""
"RY2","Bridgewater Community Healthcare NHS Foundation Trust","Community Provider Trust","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Bridgewater Community Healthcare NHS Foundation Trust","Approved",""
"RY4","Hertfordshire Community NHS Trust","Community Provider Trust","Y61","East of England","QM7","Hertfordshire and West Essex","2024-04-30","2025-03-31","True","False","National stable reference","Hertfordshire Community NHS Trust","Approved",""
"RY5","Lincolnshire Community Health Services NHS Trust","Community Provider Trust","Y60","Midlands","QJM","Lincolnshire","2024-04-30","2025-03-31","True","False","National stable reference","Lincolnshire Community Health Services NHS Trust","Approved",""
"RY7","Wirral Community Health and Care NHS Foundation Trust","Community Provider Trust","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Wirral Community Health and Care NHS Foundation Trust","Approved",""
"RY8","Derbyshire Community Health Services NHS Foundation Trust","Community Provider Trust","Y60","Midlands","QJ2","Derby and Derbyshire","2024-04-30","2025-03-31","True","False","National stable reference","Derbyshire Community Health Services NHS Foundation Trust","Approved",""
"RYF","South Western Ambulance Service NHS Foundation Trust","Ambulance","Y58","South West","QJK","Devon","2024-04-30","2025-03-31","True","False","National stable reference","South Western Ambulance Service NHS Foundation Trust","Approved",""
"RYG","Coventry and Warwickshire Partnership NHS Trust","Mental Health","Y60","Midlands","QWU","Coventry and Warwickshire","2024-04-30","2025-03-31","True","False","National stable reference","Coventry and Warwickshire Partnership NHS Trust","Approved",""
"RYJ","Imperial College Healthcare NHS Trust","Acute","Y56","London","QRV","North West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Imperial College Healthcare NHS Trust","Approved",""
"RYR","University Hospitals Sussex NHS Foundation Trust","Acute","Y59","South East","QNX","Sussex","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals Sussex NHS Foundation Trust","Approved",""
"RYX","Central London Community Healthcare NHS Trust","Community Provider Trust","Y56","London","QRV","North West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Central London Community Healthcare NHS Trust","Approved",""
"RYY","Kent Community Health NHS Foundation Trust","Community Provider Trust","Y59","South East","QKS","Kent and Medway","2024-04-30","2025-03-31","True","False","National stable reference","Kent Community Health NHS Foundation Trust","Approved",""
